season,date,event,patch,blue_team,red_team,winner,ban_1_blue_team,ban_2_blue_team,ban_3_blue_team,ban_4_blue_team,ban_5_blue_team,ban_1_red_team,ban_2_red_team,ban_3_red_team,ban_4_red_team,ban_5_red_team,pick_1_blue_team,pick_2_blue_team,pick_3_blue_team,pick_4_blue_team,pick_5_blue_team,pick_1_red_team,pick_2_red_team,pick_3_red_team,pick_4_red_team,pick_5_red_team,top_blue_team,jungler_blue_team,mid_blue_team,adc_blue_team,support_blue_team,top_red_team,jungler_red_team,mid_red_team,adc_red_team,support_red_team
5,2015-10-09,Main,5.18,H2k_2d-Gaming,SK_Telecom_T1,SK_Telecom_T1,Azir,Rek'Sai,Elise,,,Mordekaiser,Gangplank,Lulu,,,Renekton,Gragas,Twisted Fate,Jinx,Thresh,Darius,Evelynn,Karthus,Kalista,Alistar,Odoamne, loulex, Ryu, Hjarnan, kaSing,MaRin, Bengi, Easyhoon, Bang, Wolf
5,2015-10-09,Main,5.18,Bangkok_Titans,EDward_Gaming,EDward_Gaming,Kalista,Twisted Fate,Rek'Sai,,,Mordekaiser,Gangplank,Elise,,,Darius,Rengar,Lulu,Jinx,Thresh,Ekko,Gragas,Yasuo,Lucian,Braum,WarL0cK, 007x, G4, Lloyd, Moss,AmazingJ, Clearlove, PawN, Deft, Meiko
5,2015-10-09,Main,5.18,Bangkok_Titans,H2k_2d-Gaming,H2k_2d-Gaming,Rek'Sai,Thresh,Tahm Kench,,,Gangplank,Mordekaiser,Elise,,,Lulu,Gragas,Yasuo,Tristana,Alistar,Darius,Lee Sin,Lissandra,Kalista,Annie,WarL0cK, 007x, G4, Lloyd, Moss,Odoamne, loulex, Ryu, Hjarnan, kaSing
5,2015-10-09,Main,5.18,SK_Telecom_T1,EDward_Gaming,SK_Telecom_T1,Rek'Sai,Annie,Lulu,,,Mordekaiser,Gangplank,Azir,,,Darius,Elise,Ryze,Tristana,Morgana,Gnar,Gragas,Twisted Fate,Kalista,Thresh,MaRin, Bengi, Faker, Bang, Wolf,AmazingJ, Clearlove, PawN, Deft, Meiko
5,2015-10-08,Main,5.18,PaiN_Gaming,Counter_Logic_Gaming,PaiN_Gaming,Veigar,Braum,Lulu,,,Mordekaiser,Malphite,Darius,,,Gangplank,Elise,Twisted Fate,Draven,Thresh,Riven,Lee Sin,Morgana,Vayne,Bard,Mylon, SirT, Kami, brTT, Dioud,ZionSpartan, Xmithie, Pobelter, Doublelift, aphromoo
5,2015-10-08,Main,5.18,ROX_Tigers,Flash_Wolves,Flash_Wolves,Nidalee,Morgana,Malphite,,,Ashe,Mordekaiser,Gangplank,,,Darius,Rek'Sai,Azir,Kalista,Kennen,Lulu,Lee Sin,LeBlanc,Jinx,Thresh,Smeb, Hojin, Kuro, PraY, GorillA,Steak, Karsa, Maple, NL, SwordArt
5,2015-10-08,Main,5.18,Flash_Wolves,Counter_Logic_Gaming,Flash_Wolves,Azir,Elise,Lulu,,,Gangplank,Mordekaiser,Darius,,,Malphite,Rek'Sai,LeBlanc,Jinx,Morgana,Ekko,Lee Sin,Viktor,Tristana,Alistar,Steak, Karsa, Maple, NL, SwordArt,ZionSpartan, Xmithie, Pobelter, Doublelift, aphromoo
5,2015-10-08,Main,5.18,ROX_Tigers,PaiN_Gaming,ROX_Tigers,Twisted Fate,Gnar,Lulu,,,Ashe,Gangplank,Yasuo,,,Darius,Elise,Azir,Mordekaiser,Leona,Lissandra,Gragas,Viktor,Kalista,Braum,Smeb, Hojin, Kuro, PraY, GorillA,Mylon, SirT, Kami, brTT, Dioud
5,2015-10-08,Main,5.18,Flash_Wolves,PaiN_Gaming,Flash_Wolves,Twisted Fate,Azir,Kalista,,,Nidalee,Gangplank,Mordekaiser,,,Lulu,Lee Sin,Yasuo,Jinx,Annie,Gnar,Rek'Sai,Orianna,Tristana,Braum,Steak, Karsa, Maple, NL, SwordArt,Mylon, SirT, Kami, brTT, Dioud
5,2015-10-08,Main,5.18,Counter_Logic_Gaming,ROX_Tigers,ROX_Tigers,Ashe,Kennen,Kalista,,,Mordekaiser,Gangplank,Lulu,,,Fiora,Ekko,Veigar,Tristana,Braum,Darius,Elise,Azir,Jinx,Tahm Kench,ZionSpartan, Xmithie, Pobelter, Doublelift, aphromoo,Smeb, Hojin, Kuro, PraY, GorillA
5,2015-10-04,Main,5.18,PaiN_Gaming,Flash_Wolves,PaiN_Gaming,Nidalee,Gangplank,Varus,,,Mordekaiser,Lulu,Elise,,,Gnar,Gragas,Twisted Fate,Tristana,Braum,Darius,Rek'Sai,Ahri,Kalista,Thresh,Mylon, SirT, Kami, brTT, Dioud,Steak, Karsa, Maple, NL, SwordArt
