season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
4,Main,Talon,7,9.0,,7,4.0,3,4,42.9,2.86,5.29,5.0,1.49,258.57,7.69,12.2,363.0,,,53.4,19.4,22.2
4,Main,Xerath,6,7.7,,6,6.0,2,4,33.3,1.5,1.67,2.5,2.4,332.83,8.96,13.0,350.0,,,64.9,24.3,23.8
4,Main,Aatrox,6,7.7,6.0,0,,0,0,,,,,,,,,,,,,,
4,Main,Vayne,4,5.1,,4,3.0,3,1,75.0,5.25,0.75,4.75,13.33,293.0,8.67,13.8,408.0,,,63.5,33.3,23.8
4,Main,Leona,3,3.8,,3,2.0,1,2,33.3,1.67,3.33,5.33,2.1,40.67,1.05,7.7,200.0,,,45.7,10.9,13.6
4,Main,Pantheon,3,3.8,,3,2.0,1,2,33.3,5.0,5.0,3.67,1.73,85.0,3.05,8.3,299.0,,,60.5,34.9,19.1
4,Main,Blitzcrank,3,3.8,,3,1.0,0,3,0.0,1.33,6.33,7.0,1.32,23.33,0.8,6.3,216.0,,,71.4,11.4,15.7
4,Main,Sona,3,3.8,,3,2.0,0,3,0.0,0.33,4.0,4.33,1.17,12.0,0.4,6.2,207.0,,,73.7,5.3,14.3
4,Main,Rammus,3,3.8,1.0,2,2.0,2,0,100.0,2.0,3.0,11.5,4.5,97.5,2.62,10.7,286.0,,,71.1,10.5,16.2
4,Main,Evelynn,2,2.6,,2,2.0,2,0,100.0,3.0,1.0,12.0,15.0,113.5,2.97,12.8,334.0,,,63.8,12.8,18.8
4,Main,Caitlyn,2,2.6,,2,1.0,1,1,50.0,5.5,2.0,4.0,4.75,487.5,9.43,21.4,414.0,,,63.3,36.7,25.1
4,Main,Graves,2,2.6,,2,2.0,1,1,50.0,3.5,2.5,6.0,3.8,252.5,7.62,12.0,362.0,,,51.4,18.9,22.3
4,Main,Singed,2,2.6,,2,1.0,1,1,50.0,3.5,2.5,13.0,6.6,277.5,8.23,13.3,395.0,,,70.2,14.9,22.0
4,Main,Ziggs,2,2.6,,2,2.0,1,1,50.0,2.0,1.5,5.0,4.67,354.5,8.43,14.7,348.0,,,50.0,14.3,22.6
4,Main,Ezreal,2,2.6,,2,2.0,0,2,0.0,3.0,1.0,2.0,5.0,226.5,6.37,10.8,305.0,,,47.6,28.6,22.1
4,Main,Akali,1,1.3,,1,1.0,1,0,100.0,9.0,0.0,8.0,17.0,188.0,6.52,12.8,444.0,,,70.8,37.5,21.6
